2014-01-22 12:10:51,896 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-01-22 12:10:51,897 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:10:51,898 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/src/test/resources
2014-01-22 12:11:22,343 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:11:22,344 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-01-22 12:11:22,346 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:11:22,346 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/src/test/resources
2014-01-22 12:11:34,957 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:11:34,959 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-01-22 12:11:34,960 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:11:34,960 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/src/test/resources
2014-01-22 12:12:07,505 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:12:07,506 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-01-22 12:12:07,508 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:12:07,508 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/src/test/resources
2014-01-22 12:13:59,115 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:13:59,116 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-01-22 12:13:59,118 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:13:59,119 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/src/test/resources
2014-01-22 12:20:57,253 [Worker-53] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: de.arconsis.sample:akka.sample:1.0-SNAPSHOT @ /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/pom.xml.
2014-01-22 12:20:57,255 [Worker-53] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 16
2014-01-22 12:21:06,927 [New I/O client worker #2-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://nexus.adorsys.de/nexus/content/groups/public/com/typesafe/akka/akka-actor_2.10/2.0.4/akka-actor_2.10-2.0.4.pom
2014-01-22 12:21:06,932 [Worker-53] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 16
2014-01-22 12:21:07,507 [New I/O client worker #3-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://uk.maven.org/maven2/com/typesafe/akka/akka-actor_2.10/2.0.4/akka-actor_2.10-2.0.4.pom
2014-01-22 12:21:07,510 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.typesafe.akka:akka-actor_2.10:jar:2.0.4 is missing, no dependency information available
2014-01-22 12:21:07,512 [Worker-53] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 16
2014-01-22 12:21:14,728 [New I/O client worker #4-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://nexus.adorsys.de/nexus/content/groups/public/com/typesafe/akka/akka-actor_2.10/2.0.4/akka-actor_2.10-2.0.4.jar
2014-01-22 12:21:14,732 [Worker-53] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 16
2014-01-22 12:21:14,902 [New I/O client worker #5-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://uk.maven.org/maven2/com/typesafe/akka/akka-actor_2.10/2.0.4/akka-actor_2.10-2.0.4.jar
2014-01-22 12:21:14,951 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:21:14,951 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-01-22 12:21:14,952 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:21:14,953 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/src/test/resources
2014-01-22 12:21:25,977 [Worker-50] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: de.arconsis.sample:akka.sample:1.0-SNAPSHOT @ /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/pom.xml.
2014-01-22 12:21:26,025 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:21:26,026 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-01-22 12:21:26,027 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 12:21:26,027 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/src/test/resources
